Match type,Repository,Repository external URL,File path,File URL,Path matches [path [start end]],Chunk matches [line [start end]]
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_likeall_wrong1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_likeall_wrong1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_if_not_bool.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_if_not_bool.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_printf_wrong1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_printf_wrong1.q.out,,"[0, [[27, 37]]]"
content,github.com/baigae/HeavenlyBypassAV,https://sourcegraph.com/github.com/baigae/HeavenlyBypassAV,MinGW64/x86_64-w64-mingw32/include/GL/glu.h,https://sourcegraph.com/github.com/baigae/HeavenlyBypassAV/-/blob/MinGW64/x86_64-w64-mingw32/include/GL/glu.h,,"[150, [[17, 27]]]"
content,github.com/dustin/snippets,https://sourcegraph.com/github.com/dustin/snippets,c/palm/irtime/irtime.h,https://sourcegraph.com/github.com/dustin/snippets/-/blob/c/palm/irtime/irtime.h,,"[4, [[16, 26]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_size_wrong_type.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_size_wrong_type.q.out,,"[0, [[27, 37]]]"
content,github.com/shader-slang/slang,https://sourcegraph.com/github.com/shader-slang/slang,tests/diagnostics/end-of-input.slang,https://sourcegraph.com/github.com/shader-slang/slang/-/blob/tests/diagnostics/end-of-input.slang,,"[0, [[51, 61]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_trunc_error2.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_trunc_error2.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_tumbling_window_check_wrong_type1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_tumbling_window_check_wrong_type1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_printf_wrong3.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_printf_wrong3.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_printf_wrong4.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_printf_wrong4.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_concat_ws_wrong3.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_concat_ws_wrong3.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_elt_wrong_type.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_elt_wrong_type.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_concat_ws_wrong1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_concat_ws_wrong1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_field_wrong_type.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_field_wrong_type.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_array_append_2.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_array_append_2.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_next_day_error_1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_next_day_error_1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_locate_wrong_type.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_locate_wrong_type.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_concat_ws_wrong2.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_concat_ws_wrong2.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_last_day_error_1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_last_day_error_1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_add_months_error_1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_add_months_error_1.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_sort_array_by_wrong1.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_sort_array_by_wrong1.q.out,,"[0, [[27, 37]]]"
content,github.com/mirror/mingw-w64,https://sourcegraph.com/github.com/mirror/mingw-w64,mingw-w64-headers/include/GL/glu.h,https://sourcegraph.com/github.com/mirror/mingw-w64/-/blob/mingw-w64-headers/include/GL/glu.h,,"[150, [[17, 27]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_format_number_wrong3.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_format_number_wrong3.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_coalesce.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_coalesce.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_format_number_wrong4.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_format_number_wrong4.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_sort_array_wrong2.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_sort_array_wrong2.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_format_number_wrong7.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_format_number_wrong7.q.out,,"[0, [[27, 37]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_sort_array_wrong3.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_sort_array_wrong3.q.out,,"[0, [[27, 37]]]"
content,github.com/wine-mirror/wine,https://sourcegraph.com/github.com/wine-mirror/wine,programs/klist/resources.h,https://sourcegraph.com/github.com/wine-mirror/wine/-/blob/programs/klist/resources.h,,"[20, [[23, 33]]]"
content,github.com/apache/hive,https://sourcegraph.com/github.com/apache/hive,ql/src/test/results/clientnegative/udf_format_number_wrong5.q.out,https://sourcegraph.com/github.com/apache/hive/-/blob/ql/src/test/results/clientnegative/udf_format_number_wrong5.q.out,,"[0, [[27, 37]]]"
